"station_id","station_geog","distance"
"3005","0101000020E610000025E99AC937C952C08542041C42F94340","4200"
"3006","0101000020E610000065DF15C1FFCC52C027A089B0E1F94340","900"
"3007","0101000020E61000008EE9094B3CCA52C085949F54FBF84340","2900"
"3008","0101000020E6100000419FC893A4C952C07DCB9C2E8BFD4340","4750"
"3009","0101000020E61000001C08C90226CC52C09869FB5756FA4340","450"
"3010","0101000020E6100000F44F70B1A2CA52C077DB85E63AF94340","2350"
"3012","0101000020E61000005A8121AB5BCB52C0FF78AF5A99F84340","1700"
"3014","0101000020E61000001A69A9BC1DCB52C0A6B8AAECBBFA4340","1750"
"3015","0101000020E6100000AFEB17EC86C952C0CCEEC9C342F94340","3800"
"3016","0101000020E61000003D2CD49AE6C952C05C38109205FC4340","3700"
"3017","0101000020E6100000EC866D8B32C952C0A88C7F9F71FD4340","5200"
"3019","0101000020E61000006B7D91D096C952C092B3B0A71DFA4340","3650"
"3020","0101000020E6100000D97C5C1B2ACC52C0764F1E166AF94340","500"
"3021","0101000020E6100000AD174339D1CA52C0C3D32B6519FA4340","2000"
"3022","0101000020E61000005969520ABACB52C0276BD44334FA4340","850"
"3024","0101000020E6100000DA8F149161CD52C0E1B4E0455FF94340","1500"
"3025","0101000020E61000005F07CE1951CA52C06440F67AF7F74340","3150"
"3026","0101000020E61000005A643BDF4FC952C0FF5BC98E8DF84340","4200"
"3028","0101000020E6100000AF08FEB792C952C0312592E865F84340","3900"
"3029","0101000020E61000009FE5797077CC52C060764F1E16FA4340","250"
"3030","0101000020E6100000520FD1E80ECA52C0B1BFEC9E3CF84340","3350"
"3031","0101000020E6100000D9EBDD1FEFC952C0EF38454772FD4340","4450"
"3032","0101000020E6100000E8305F5E80CB52C0E9F17B9BFEF84340","1350"
"3033","0101000020E610000044A852B307CA52C04BC8073D9BF94340","3100"
"3034","0101000020E61000004390831266CA52C096218E7571F74340","3350"
"3035","0101000020E610000075CDE49B6DCC52C01EC4CE143AFB4340","1150"
"3037","0101000020E61000009F8EC70C54CA52C07C444C8924FA4340","2650"
"3038","0101000020E6100000C39E76F86BCC52C02F698CD651F94340","550"
"3039","0101000020E61000008EE9094B3CCA52C02AE3DF675CFC4340","3500"
"3040","0101000020E61000001F4B1FBAA0CA52C09ED2C1FA3FFB4340","2550"
"3041","0101000020E6100000A27A6B60ABC852C06440F67AF7FB4340","5200"
"3046","0101000020E6100000F0C4AC1743C952C044A33B889DF94340","4100"
"3047","0101000020E6100000EB6E9EEA90C952C0BDA94885B1F94340","3700"
"3049","0101000020E610000085EB51B81EC952C069E388B5F8F84340","4350"
"3051","0101000020E6100000B020CD5834CB52C0CF6BEC12D5FB4340","2250"
"3052","0101000020E6100000DC4603780BCA52C0616C21C841F94340","3100"
"3053","0101000020E61000009DBAF2599ECB52C0ECDD1FEF55F74340","2400"
"3054","0101000020E6100000A5BDC11726CB52C03333333333FB4340","1950"
"3055","0101000020E610000056BC9179E4C952C02849D74CBEF94340","3250"
"3056","0101000020E61000000EA14ACD1ECA52C0452A8C2D04FD4340","4000"
"3057","0101000020E610000004E275FD82CB52C0734BAB2171FB4340","1700"
"3058","0101000020E61000008D7F9F71E1CA52C0EBFF1CE6CBFB4340","2550"
"3059","0101000020E61000007172BF4351CA52C05E2EE23B31FB4340","2900"
